,Day Index,Facebook,Display,Direkt,Organic,Search,B4,B3,B2,B1,BTotal,Kontakt,Home,Galerija,Konverzije
0,1/1/19,2,37,2.0,5.0,17.0,0.0,0,0.0,0,0.0,4.0,66,23,0.0
1,1/2/19,7,45,3.0,6.0,12.0,0.0,0,0.0,0,0.0,6.0,94,34,0.0
2,1/3/19,8,46,2.0,7.0,20.0,0.0,0,0.0,0,0.0,6.0,90,31,0.0
3,1/4/19,4,42,6.0,5.0,18.0,0.0,0,0.0,0,0.0,6.0,81,29,0.0
4,1/5/19,19,42,6.0,4.0,12.0,0.0,0,0.0,0,0.0,3.0,109,37,0.0
5,1/6/19,12,49,4.0,2.0,8.0,0.0,0,0.0,0,0.0,4.0,97,23,0.0
6,1/7/19,10,54,4.0,6.0,16.0,0.0,0,0.0,0,0.0,4.0,105,43,0.0
7,1/8/19,11,82,4.0,10.0,21.0,0.0,0,0.0,0,0.0,3.0,172,40,0.0
8,1/9/19,13,53,5.0,8.0,11.0,0.0,0,0.0,13,13.0,5.0,119,49,0.0
9,1/10/19,2,53,5.0,5.0,18.0,0.0,0,0.0,6,6.0,9.0,90,44,0.0
10,1/11/19,135,45,14.0,10.0,17.0,0.0,0,0.0,113,113.0,5.0,100,34,0.0
11,1/12/19,439,53,18.0,8.0,17.0,0.0,0,0.0,369,369.0,4.0,104,37,0.0
12,1/13/19,258,11,19.0,9.0,1.0,0.0,0,0.0,206,206.0,5.0,53,20,0.0
13,1/14/19,235,4,15.0,11.0,0.0,0.0,0,0.0,163,163.0,4.0,46,23,0.0
14,1/15/19,149,89,15.0,9.0,2.0,0.0,0,0.0,97,97.0,3.0,181,47,0.0
15,1/16/19,42,64,4.0,9.0,24.0,0.0,0,0.0,5,5.0,6.0,113,51,0.0
16,1/17/19,5,43,5.0,5.0,20.0,0.0,0,0.0,2,2.0,10.0,92,36,0.5
17,1/18/19,11,47,2.0,6.0,20.0,0.0,0,9.0,2,11.0,7.0,81,36,0.5
18,1/19/19,142,50,13.0,4.0,20.0,0.0,0,123.0,4,127.0,4.0,115,43,0.5
19,1/20/19,200,51,36.0,7.0,19.0,0.0,0,189.0,8,197.0,8.0,120,50,0.5
20,1/21/19,149,54,13.0,7.0,17.0,0.0,0,144.0,6,150.0,5.0,93,42,0.5
21,1/22/19,195,47,28.0,10.0,17.0,0.0,0,213.0,5,218.0,6.0,118,40,0.5
22,1/23/19,64,46,7.0,10.0,15.0,0.0,0,55.0,2,57.0,10.0,118,50,1.0
23,1/24/19,14,45,11.0,6.0,16.0,0.0,0,2.0,3,5.0,13.0,107,39,1.0
24,1/25/19,7,54,11.0,4.0,18.0,0.0,0,5.0,6,11.0,4.0,92,42,1.0
25,1/26/19,11,46,5.0,9.0,6.0,0.0,0,1.0,3,4.0,5.0,86,33,1.0
26,1/27/19,13,46,6.0,11.0,13.0,0.0,0,1.0,2,3.0,3.0,113,40,1.0
27,1/28/19,115,45,12.0,7.0,20.0,0.0,89,1.0,4,94.0,12.0,119,60,1.0
28,1/29/19,318,37,12.0,17.0,15.0,0.0,304,4.0,8,316.0,6.0,131,56,1.0
29,1/30/19,207,44,21.0,11.0,10.0,0.0,196,4.0,6,206.0,7.0,97,41,1.0
30,1/31/19,243,42,20.0,10.0,15.0,0.0,215,2.0,3,220.0,5.0,95,40,1.0
31,2/1/19,170,55,24.0,7.0,11.0,0.0,164,6.0,9,179.0,12.0,94,44,0.5
32,2/2/19,3,56,7.0,16.0,17.0,0.0,6,1.0,1,8.0,3.0,117,54,0.5
33,2/3/19,5,55,9.0,16.0,15.0,0.0,3,0.0,1,4.0,5.0,133,39,0.5
34,2/4/19,8,59,23.0,10.0,20.0,0.0,4,1.0,0,5.0,10.0,136,66,0.5
35,2/5/19,7,58,10.0,6.0,16.0,0.0,2,4.0,2,8.0,12.0,124,47,0.5
36,2/6/19,12,56,4.0,11.0,15.0,0.0,1,1.0,1,3.0,13.0,135,43,0.5
37,2/7/19,4,51,20.0,6.0,18.0,0.0,0,1.0,0,1.0,11.0,114,52,0.5
38,2/8/19,6,50,8.0,6.0,16.0,0.0,1,2.0,0,3.0,3.0,101,44,0.0
39,2/9/19,4,60,3.0,9.0,15.0,0.0,1,2.0,2,5.0,5.0,102,37,0.0
40,2/10/19,11,53,6.0,8.0,13.0,0.0,2,4.0,3,9.0,12.0,120,54,0.0
41,2/11/19,4,57,10.0,20.0,15.0,0.0,0,0.0,3,3.0,9.0,146,56,0.0
42,2/12/19,1,49,5.0,10.0,12.0,0.0,1,0.0,1,2.0,8.0,101,29,0.0
43,2/13/19,17,56,20.0,8.0,14.0,5.0,5,2.0,2,14.0,5.0,101,23,0.0
44,2/14/19,21,50,5.0,3.0,13.0,18.0,5,0.0,0,23.0,10.0,86,32,0.0
45,2/15/19,51,41,10.0,8.0,17.0,58.0,11,4.0,1,74.0,9.0,113,48,0.0
46,2/16/19,16,53,7.0,6.0,10.0,22.0,5,0.0,1,28.0,7.0,105,32,0.0
47,2/17/19,14,51,4.0,12.0,15.0,2.0,0,0.0,0,2.0,7.0,112,35,0.0
48,2/18/19,5,57,3.0,10.0,17.0,0.0,2,0.0,0,2.0,4.0,108,43,0.0
49,2/19/19,15,54,5.0,10.0,15.0,0.0,0,0.0,1,1.0,9.0,114,44,0.0
50,2/20/19,4,52,4.0,4.0,14.0,0.0,1,0.0,0,1.0,5.0,99,36,0.0
51,,"3,418","2,539",515.0,424.0,753.0,105.0,"1,018",781.0,"1,064",2968.0,341.0,"5,458","2,071",
52,----------------------------009134322449111070504929--,,,,,,,,,,,,,,
